Organization,Cluster,Pattern_Rep,Outcome_Clarity,Transferability,Implementation_Complete,Strategic_Significance,Source_Credibility,Weighted_Score,Rank_Justification
Klarna,Customer Service Automation,5.0,5.0,4.0,4.0,4.0,4.0,4.35,"Perfect archetype of GenAI customer service transformation with quantified outcomes ($40M savings, 2/3 automation rate) transferable across industries"
U.S. Department of Veterans Affairs,Healthcare Clinical Support,4.0,5.0,4.0,4.0,5.0,5.0,4.35,Government healthcare AI with life-critical outcomes (21% adenoma detection increase) representing regulatory compliance path for AI in healthcare
JPMorgan Chase,Financial Risk Management,5.0,5.0,4.0,3.0,5.0,4.0,4.30,"Definitive enterprise AI platform case with massive scale ($1.5B savings, 300x faster fraud detection) representing financial services transformation"
United Airlines,Platform-First Enterprises,4.0,3.0,5.0,4.0,4.0,3.0,3.85,Enterprise AI platform strategy with governance-first approach transferable across industries requiring operational excellence
Unilever,Manufacturing Quality Control,4.0,4.0,4.0,3.0,4.0,3.0,3.75,Supply chain AI with measurable partner ecosystem impact (98% on-shelf availability) representing B2B AI transformation
Indiana Courts,Government Process Modernization,3.0,5.0,4.0,4.0,4.0,4.0,3.95,Government efficiency transformation with dramatic cycle time improvement (143 to 31 days) transferable to administrative processes
NHS England,Regulatory Compliance Leaders,4.0,5.0,4.0,3.0,5.0,4.0,4.15,National healthcare AI deployment with life-saving outcomes (140 to 79 minute treatment time) representing large-scale clinical AI
Bosch Manufacturing,Manufacturing Quality Control,4.0,3.0,4.0,3.0,4.0,3.0,3.55,Global manufacturing AI deployment across 2000+ lines representing industrial IoT and quality control transformation
McKinsey,Platform-First Enterprises,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Professional services internal AI adoption (500K+ interactions) representing knowledge work transformation but limited transferability
Manufacturing Company (RPA),Single-Process Masters,4.0,4.0,4.0,3.0,3.0,3.0,3.65,Mid-market manufacturing automation with clear ROI (4+ FTE reduction) representing focused departmental AI success
BankUnited,Mid-Market Agility Winners,3.0,3.0,4.0,3.0,3.0,4.0,3.25,Mid-market banking AI representing SMB advantage in AI adoption with AWS partnership model
Telstra,Customer Service Automation,3.0,4.0,4.0,3.0,3.0,3.0,3.40,Customer service efficiency improvement (20% follow-up reduction) supporting customer automation patterns
Lumen Technologies,Single-Process Masters,3.0,5.0,4.0,3.0,3.0,4.0,3.65,Sales automation with dramatic productivity gain (94% time reduction) representing focused process transformation
Air India,Customer Service Automation,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Large-scale customer service automation (97% of 4M+ queries) representing aviation sector transformation
Singapore Education Ministry,Government Process Modernization,3.0,3.0,3.0,3.0,4.0,3.0,3.15,National education AI representing government-scale transformation but limited documentation transferability
UnitedHealth (anti-pattern),Automation Without Governance,5.0,4.0,5.0,4.0,4.0,4.0,4.25,Perfect example of healthcare AI governance failure with legal consequences representing critical anti-pattern for policy automation
Air Canada (anti-pattern),Automation Without Governance,4.0,4.0,5.0,4.0,3.0,4.0,4.05,Classic chatbot liability case with legal precedent representing public-facing AI risks without proper controls
IBM Watson Oncology (anti-pattern),Premature Deployment Failures,5.0,5.0,4.0,4.0,4.0,5.0,4.45,$4B+ healthcare AI failure representing bias amplification and unrealistic expectations - ultimate cautionary tale
Amazon Hiring (anti-pattern),Bias Amplification Cases,5.0,4.0,5.0,4.0,3.0,4.0,4.15,Definitive bias amplification case representing dangers of historical data training without bias correction
McDonald's Drive-Thru (anti-pattern),Premature Deployment Failures,4.0,4.0,4.0,4.0,3.0,4.0,3.85,Voice AI deployment failure representing customer experience degradation from immature technology
NYC MyCity Chatbot (anti-pattern),Automation Without Governance,4.0,4.0,4.0,4.0,3.0,4.0,3.85,Government AI misinformation crisis representing public sector AI risks and accountability requirements
Spotify,Platform-First Enterprises,3.0,3.0,3.0,3.0,4.0,3.0,3.15,Entertainment industry AI transformation representing content optimization and operational efficiency but limited documentation
Deloitte,Professional Services Platform,3.0,3.0,3.0,3.0,3.0,3.0,3.00,Professional services RPA adoption representing cross-departmental automation but limited strategic impact documentation
Sandvik,Manufacturing Quality Control,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Manufacturing productivity improvement (30%) representing sector-specific productivity gains
Urban Company,Mid-Market Agility Winners,3.0,4.0,3.0,3.0,3.0,3.0,3.15,Mid-market service automation (85-90% resolution) representing customer service transformation in emerging markets
