Organization,Sector,Geography,Size,Process,Function,AI_Modality,Integration_Depth,Data_Posture,Controls,Vendor_vs_Inhouse,Maturity,Start_Date,Intended_Outcome,Observed_Results,Change_Mgmt,Risk_Compliance,Cost_Benefit,Status,Pattern_Tags,Source_Platform,Source_Citation,Cluster,Pattern_Rep,Outcome_Clarity,Transferability,Implementation_Complete,Strategic_Significance,Source_Credibility,Weighted_Score,Rank_Justification,Outcome,Human_Capability,AI_System,Interaction_Pattern,Pattern_Type,Strategic_Cluster,Pattern_Description,Business_Context,Success_Factor_or_Failure_Mode,
Klarna,Fintech,Global,Enterprise,End-to-end customer service chat handling and resolution workflow,Customer Operations,Generative AI (LLM),Human-in-the-loop automation; straight-through for simple intents,Structured customer data,HITL escalation for complex cases,Vendor partnership,Broad production,2024,Increase self-service containment; reduce agent load while maintaining CSAT,~2/3 of chats handled by AI; $40M annual savings; doing work of ~700 agents,Staff retraining and role evolution,Privacy controls for customer data,$40M annual cost savings,Live,"Clear problem framing, measurable KPI, executive sponsorship",Partner coverage,https://openai.com/index/klarna/,Customer Service Automation,5.0,5.0,4.0,4.0,4.0,4.0,4.35,"Perfect archetype of GenAI customer service transformation with quantified outcomes ($40M savings, 2/3 automation rate) transferable across industries",Success,CONTEXT-SOCIAL,CONVERSE,Stakeholder_Simulation,Synergy,C4_Conversational_Execution,Using AI to simulate and test customer interaction approaches before scaling,"Customer service transformation with clear stakeholder (customer) benefit, systematic testing of interaction patterns",Human social intelligence directing AI conversational capabilities toward genuine customer needs,"['', '']"
Verizon,Telecom,USA,Enterprise,AI assistant for customer service sales enablement,Customer Operations,GenAI (Google Cloud Gemini),Agent assist with context-aware guidance,Customer interaction data,Real-time monitoring,In-house + vendor,Production,2024,Boost sales while improving CX amid churn pressures,"~40% increase in sales through 28,000‑rep service team; 95% comprehensive answerability; Jul 2024–Jan 2025 deployment",Agent reskilling and enablement,Customer privacy compliance,Revenue uplift from service interactions,Live,"Data-rich environment, established ML infrastructure",Company,https://cresta.com/news/verizon-ai-boosts-sales-amid-customer-churn,,,,,,,,,,,,,,,,,,,"['', '']"
U.S. Department of Veterans Affairs (VHA),Federal Government (Healthcare),USA (national),Enterprise,Colonoscopy assistance (adenoma detection) using FDA-cleared CV devices,Clinical,Computer Vision (CV),Decision support with clinician oversight,Medical imaging data,FDA clearance and clinical oversight,Vendor + in-house,Production deployment,2024-12,Increase adenoma detection rate (ADR) and cancer prevention,21% increase in odds of adenoma detection; ~+4% absolute ADR vs. without AI,Physician training and validation,FDA compliance and patient safety,Healthcare quality improvement,Ongoing,"Regulatory compliance, clinical validation, gradual rollout",Government,https://department.va.gov/ai/ai-use-case-inventory/,,,,,,,,,,,,,,,,,,,"['', '']"
Indiana Courts (Court of Appeals),State Judiciary,USA (Indiana),Enterprise,Expedited appeals (involuntary commitments): AI transcription & workflow changes,Judicial Administration,ASR + Workflow,Workflow acceleration with human review,Legal documents and audio,Judicial review and oversight,Vendor implementation,Active pilot (2-year),2024-09,Reduce time from notice of appeal to opinion for mental-health appeals,Average cycle time reduced from 143.3 days to 30.85 days for first 6 months (7 cases),Court staff training,Legal compliance and due process,Dramatic efficiency gains,Active pilot,Order of magnitude cycle time improvement,Government,https://times.courts.in.gov/2025/05/05/involuntary-commitments-artificial-intelligence-expedited-appeals/,,,,,,,,,,,,,,,,,,,"['', '']"
JPMorgan Chase,Banking,USA,Enterprise,AI platform across lines of business (risk, marketing, CX, fraud),Enterprise AI Platform,ML/AI Platform (OmniAI),Decision support with analyst feedback loop,Enterprise data across LoBs,Embedded governance and monitoring,In-house platform,Production,2023,Drive measurable business value from AI at scale,Target ~$1.5B AI business value by end of 2023; 300+ use cases; ~$220M retail personalization; ~$100M commercial growth signals,Enterprise reskilling and adoption,Regulatory compliance and responsible AI,Documented value across functions,Live,Financial Risk Management,5.0,5.0,4.0,3.0,5.0,4.0,4.30,"Definitive enterprise AI platform case with massive scale ($1.5B savings, 300x faster fraud detection) representing financial services transformation",Success,CAUSAL-MODEL,OPTIMIZE,Principled_Optimization,Synergy,C2_Strategic_Goal_Alignment,Human understanding of fraud mechanisms constraining AI optimization,"Financial crime detection requiring causal understanding of fraud patterns, not just statistical correlations",Human fraud expertise providing causal constraints on AI pattern optimization,"['', '', '', '', '']"
United Airlines,Airlines,USA,Enterprise,Enterprise genAI platform for internal/customer communications,Operations & Customer Communications,Generative AI (multi-model),Platform + governance; assistive and orchestration,Operational and customer data,Governance framework and escalation,In-house platform,Production,2024,"Faster communications, unify data/ML backbone",Multiple models in production; data hub platform strategy,Enterprise-wide training,Aviation safety and regulatory,Platform investment,Live,"Centralized platform, governance-first approach",Press coverage,https://www.cio.com/article/3624045/united-airlines-sets-its-flight-plan-for-gen-ai-success.html; https://www.slalom.com/us/en/customer-stories/united-airlines-gen-ai,Platform-First Enterprises,4.0,3.0,5.0,4.0,4.0,3.0,3.85,Enterprise AI platform strategy with governance-first approach transferable across industries requiring operational excellence,Success,META-MONITOR,CONVERSE,Interaction_Calibration,Synergy,C3_Operational_Process_Integration,Systematically adjusting AI prompting and interaction strategies across enterprise,"Enterprise platform requiring consistent interaction patterns, governance frameworks, operational reliability",Human oversight calibrating AI interaction patterns for enterprise-wide consistency,"['', '']"
Unilever,CPG / Supply Chain,Global,Enterprise,"Collaborative planning, forecasting & replenishment (CPFR) with retailers",Supply Chain Planning,Hybrid (ML + GenAI),Decision support & workflow orchestration,Supply chain and sales data,Partner integration oversight,Vendor + in-house,Production rollout,,Increase on-shelf availability; improve forecast accuracy,Initial pilot with Walmart in Mexico increased product availability at point of sale to 98%,Cross-functional team training,Partner data privacy,Measurable supply chain optimization,Scaling,"Partner ecosystem integration, measurable supply chain metrics",Company,https://www.unilever.com/news/news-search/2024/utilising-ai-to-redefine-the-future-of-customer-connectivity/,Manufacturing Quality Control,4.0,4.0,4.0,3.0,4.0,3.0,3.75,Supply chain AI with measurable partner ecosystem impact (98% on-shelf availability) representing B2B AI transformation,Success,ADAPT,OPTIMIZE,Dynamic_Goal_Steering,Synergy,C2_Strategic_Goal_Alignment,Adapting AI supply chain optimization as market conditions and partnerships evolve,"Supply chain optimization requiring adaptation to changing retail partnerships, market conditions, business objectives",Human supply chain expertise adapting AI optimization as business context evolves,"['', '']"
NHS England (stroke services),Public Health System,UK (England),Enterprise,AI-backed stroke imaging triage across 100+ stroke centres,Clinical,AI-assisted imaging (decision support),Decision support embedded in care pathway,Medical imaging data,Clinical oversight and protocols,Vendor implementation,Production rollout,2025-09,Reduce door-to-treatment time; improve functional recovery rates,Treatment time reduced 140→79 minutes,Medical staff training,NHS governance and patient safety,Life-saving time improvements,National rollout,"Life-critical application, national scale, measurable outcomes",Press coverage,https://www.theguardian.com/society/2025/sep/01/stroke-centres-in-england-given-ai-tool-that-will-help-50-of-patients-recover,,,,,,,,,,,,,,,,,,,"['', '']"
Bosch,Manufacturing,Global,Enterprise,Anomaly detection across assembly lines in multiple plants,Manufacturing / Quality,Predictive ML,Decision support & alerts embedded in MES/quality systems,Manufacturing sensor data,Production line monitoring,In-house + vendor,Broad production,2024,"Reduce scrap, improve OEE, increase throughput","Deployed across ~2,000 lines in 50+ plants",Operator training on new systems,Industrial safety standards,Manufacturing efficiency gains,Live,Enterprise-wide manufacturing deployment,Company,https://www.bosch.com/stories/ai-in-manufacturing/,,,,,,,,,,,,,,,,,,,"['', '']"
National Grid,Utilities (Transmission/Distribution),USA/UK,Enterprise,Vegetation management planning embedded into grid maintenance workflow,Field Operations / Asset Management,Computer Vision + ML (satellite/drone imagery),Decision support for planning & scheduling,Satellite and drone imagery,Field validation and oversight,Vendor + in-house,Production,2024,Prioritize trimming to reduce outages; optimize spend,Earlier fault detection; prioritized trimming at scale,Field crew training,Utility regulation compliance,Grid reliability improvement,Live,"Computer vision for infrastructure, predictive maintenance",ChatGPT,National Grid vegetation case,,,,,,,,,,,,,,,,,,,"['', '']"
