Organization,Sector,Geography,Size,Process,Function,AI Modality,Integration Depth,Maturity,Start Date,Intended Outcome,Observed Results,Status,Source Title,Source URL,Source Date
NYC 311 (Office of Technology & Innovation),City Government,"USA (New York, NY)",Enterprise,Inbound 311 call triage and information provision via multilingual AI voice,Public Services / Contact Center,"GenAI (LLM, Voice)",Decision support & triage (HITL escalation),Pilot,2024-06,Expand language access; reduce handle/wait times; improve first-contact resolution during 21-day pilot,Pilot completed (21 days); outcomes not disclosed in report,Completed pilot,NYC 2024 Algorithmic Tools Report (includes NYC311 AI Voice pilot),https://www.nyc.gov/assets/oti/downloads/pdf/reports/2024-algorithmic-tools-report.pdf,2024-12
California Department of Tax and Fee Administration (CDTFA),State Government,USA (California),Enterprise,Taxpayer call center knowledge retrieval & draft response generation,Support / Contact Center,GenAI (LLM),Assistive drafting & retrieval over agency knowledge base,Pilot,2024-12,Shorten research time; decrease taxpayer wait times; improve ops monitoring,In testing; metrics not yet published,Active pilot,Call center productivity project | GenAI (CA),https://www.genai.ca.gov/ca-action/projects/call-center-productivity/,2024-12
California Department of Public Health (CDPH),State Government (Health),USA (California),Enterprise,Health facility inspection report drafting & citation linking,Regulatory / Inspection,GenAI (LLM),Assistive drafting; policy linkages; HITL review,Pilot,2024-12,Reduce report drafting time; improve consistency; increase inspector time on investigations,In testing; metrics not yet published,Active pilot,Health care facility inspections project | GenAI (CA),https://www.genai.ca.gov/ca-action/projects/health-care-facility-inspections/,2024-12
U.S. Department of Veterans Affairs (VHA),Federal Government (Healthcare),USA (national),Enterprise,Colonoscopy assistance (adenoma detection) using FDA-cleared CV devices,Clinical,Computer Vision (CV),Decision support with clinician oversight,Production deployment,2024-12,Increase adenoma detection rate (ADR) and cancer prevention,21% increase in odds of adenoma detection; ~+4% absolute ADR vs. without AI,Ongoing,VA AI Use Case Inventory (public site + bulk inventory),https://department.va.gov/ai/ai-use-case-inventory/,2025-07
Indiana Courts (Court of Appeals),State Judiciary,USA (Indiana),Enterprise,Expedited appeals (involuntary commitments): AI transcription & workflow changes,Judicial Administration,ASR + Workflow,Workflow acceleration with human review,Pilot,2024-09,Reduce time from notice of appeal to opinion for mental-health appeals,Average cycle time reduced from 143.3 days (2023 baseline) to 30.85 days for first 6 months (7 cases),Active pilot (2-year),"Indiana courts article: Involuntary Commitments, AI & Expedited Appeals",https://times.courts.in.gov/2025/05/05/involuntary-commitments-artificial-intelligence-expedited-appeals/,2025-05
Nevada DETR (Unemployment) & NV Health Insurance Helpline,State Government,USA (Nevada),Enterprise,UI appeals assistance; virtual agent for health insurance call center,Public Services / Contact Center,GenAI virtual agent,Decision support & triage; info provision,Pilot/Production mix,2024-06,Speed appeals processing; reduce caller wait times,Article reports reduced waiting times for health insurance callers; quantitative metrics not disclosed,Ongoing,"Nevada agencies eye AI to speed jobless claims, DMV queries",https://thenevadaindependent.com/article/nevada-agencies-eye-artificial-intelligence-to-speed-jobless-claims-dmv-queries,2024-06
U.S. Department of Homeland Security (DHS),Federal Government (Security),USA (national),Enterprise,Mission workflows enhanced via 3 GenAI pilots (per AI Roadmap),Homeland Security / Mission Support,GenAI (LLM),Pilot experiments with guardrails,Pilot (Phase 1 completed),2024-10,Evaluate GenAI impact on mission-specific tasks safely and effectively,Phase 1 pilots completed; outcomes not yet public,Continuing pilots & AI Corps hiring,DHS Fact Sheet: Completes first phase of AI pilots; hires AI Corps,https://www.dhs.gov/archive/news/2024/10/30/fact-sheet-dhs-completes-first-phase-ai-technology-pilots-hires-new-ai-corps,2024-10
Arizona State University (ASU),Higher Education,USA (Arizona),Enterprise,"Portfolio of genAI projects in teaching, research, and admin workflows",Academic & Administrative,GenAI,Assistive & orchestration (varies by project),Pilots / Production mix,2024-08,"Accelerate course design, student support, and knowledge workflows",Showcase of projects; metrics not consolidated,Ongoing,AI-powered educational experiences underway at ASU,https://news.asu.edu/20240827-science-and-technology-ai-powered-educational-experiences-underway-asu,2024-08
University of Michigan (Maizey),Higher Education,USA (Michigan),Enterprise,Canvas-integrated custom AI tutors and campus AI services,Academic & Administrative,GenAI (closed campus services),Assistive tutoring & retrieval-augmented workflows,Production rollout,2024-09,Streamline creation of course-specific AI tutors; improve access to course knowledge,Integration live; qualitative faculty uptake reported,Ongoing,Fall 2024 Enhancements to Maizey AI (Canvas integration),https://michigan.it.umich.edu/news/2024/09/30/fall-2024-enhancements-to-maizey-ai/,2024-09
U.S. DoD (Project Maven / Palantir),Defense,USA (DoD-wide),Enterprise,Intelligence triage & targeting pipeline applications,Defense ISR / Operations,ML/CV + Analytics,Operational apps integrated into mission workflows,Production expansion,2024-09,"Scale AI-enabled battlespace awareness, joint fires, logistics",Contract expansion to support multi-service deployment,Expanded deployment,Palantir: Expands Maven Smart System AI/ML capabilities,https://investors.palantir.com/news-details/2024/Palantir-Expands-Maven-Smart-System-AIML-Capabilities-to-Military-Services/,2024-09
NHS England (stroke services),Public Health System,UK (England),Enterprise,AI-backed stroke imaging triage across 100+ stroke centres,Clinical,AI-assisted imaging (decision support),Decision support embedded in care pathway,Production rollout,2025-09,Reduce door-to-treatment time; improve functional recovery rates,Treatment time reduced 140_79 minutes; % with no/slight disability rose 16%_48%,National rollout,NHS rollout of AI stroke tool (press coverage),https://www.theguardian.com/society/2025/sep/01/stroke-centres-in-england-given-ai-tool-that-will-help-50-of-patients-recover,2025-09
American Red Cross,Nonprofit / NGO,USA (national),Enterprise,Disaster assistance triage via 'Clara' chatbot to guide survivors,Disaster Response / Customer Service,GenAI / Conversational AI,Self-service triage & resource navigation,Production (public-facing),2024-01,Direct survivors to appropriate assistance faster; reduce call centre load,No quantitative metrics published,Live,"American Red Cross: Meet Clara, the Disaster Response Chatbot",https://www.redcross.org/get-help/disaster-relief-and-recovery-services/meet-clara.html,2024-01
